account_id,account_name,Scope_3_emissions_amount,z_score,Primary activity,Year
11930,Microsoft Corporation,8903781.0,3.1112131525826188,Software,2015
16339,SAP SE,7350874.0,2.498864467101285,Software,2015
14709,Koninklijke Philips NV,139694138.0,3.316570519790512,Medical equipment,2015
9992,"Kawasaki Heavy Industries, Ltd.",67911773.0,4.653880284196281,Industrial machinery,2015
1708,"Berry Global Group, Inc",2221188.0,3.4449169838615084,Other containers & packaging,2015
19829,Unilever plc,69017784.0,4.37330363927541,Personal care & household products,2015
16837,Shimizu Corporation,16670341.0,2.0640007354091137,Non-residential building construction,2015
16418,Schlumberger Limited,1191000.0,2.6471599565021915,Energy services & equipment,2015
13807,Old Mutual Group,35344893.63,4.544860707614641,Asset managers,2015
19376,Travis Perkins,6291900.0,3.614352646556039,"Dealers, wholesalers & distributors",2015
10156,Kingfisher,11936272.0,2.649439445917314,Specialist retail,2015
7164,General Motors Company,373099701.0,2.6413446070447946,Automobiles,2015
19290,Toyota Motor Corporation,383198000.0,2.731305016436909,Automobiles,2015
4136,Cummins Inc.,918884285.0,3.133339095288527,Engines & motors,2015
16012,Royal Dutch Shell,643819000.0,2.3446862009175526,Oil & gas refining,2015
4256,"Daiwa House Industry Co., Ltd.",12542114.0,3.112978408272152,Residential building construction,2015
3564,The Coca-Cola Company,54687774.0,3.153256996787469,Non-alcoholic beverages,2015
4120,CSX Corporation,3122171.0,2.315930552816723,Rail freight,2015
865,Apple Inc.,35638000.0,2.0329166449202,Communications equipment,2015
5811,Ericsson,43878000.0,2.6244962526359945,Communications equipment,2015
32498,Abengoa,3437861.0,3.161975384726325,Engineering services,2015
10670,LG Electronics,78636726.0,3.19915392113606,Electronic equipment,2015
14292,Panasonic Corporation,94641000.0,3.9266837514567503,Electronic equipment,2015
4826,The Dow Chemical Company,104022000.0,3.835104938911657,Other base chemicals,2015
8212,Heineken NV,10578231.34,3.151212895792117,Alcoholic beverages,2015
8338,"Hitachi, Ltd.",262994105.0,4.632641601383414,Electrical equipment,2015
